Locality	Latitude	Longitude	Marine Limit	Reference
Kinzarof Lagoon	55.283	-162.617	25	Jordan (2001)
Kalifonsky Beach	60.5	-151.33333	25	Reger et al. (1996)
Chichagof Island	58.233333	-135.75	80	Mann (1986)
Juneau	58.333333	-134.43472	230	Miller (1973)
Stewart	56	-130	148	Prest et al. (1968)
Cape Bathurst	70.7	-128.3	0	Prest et al. (1968)
Bella Bella	52.15	-128.1	120	Andrews and Retherford (1978)
Port McNeill	50.566667	-127.0175	92	Howes (1981)
Zeballos	49.983333	-126.85	20	Gutsell et al. (2004)
Bella Coola	52.38	-126.75	165	Andrews and Retherford (1978)
Sachs Harbour	71.95	-125.416667	20	Vincent (1983), Dyke and Dredge (1989)
Courtnay	49.645	-125.005	150	Mathews et al. (1970), Clague (1981)
Cape Parry	70	-125	10	Kerr (1994)
Alberny	49.253333	-124.82666	91	Mathews et al. (1970), Clague (1981)
Darnley Bay Southwest	69.3	-124.5	26	Prest et al. (1968), Kerr (1996)
Englishman River	49.283333	-124.26666	140	Mathews et al. (1970), Clague (1981)
Pennell Point	73.916667	-124	20	Vincent (1983)
Victoria	48.413333	-123.355	75	Prest et al. (1968), Mathews et al. (1970), Clague (1981)
Squamish	49.695	-123.14	45	Friele and Clague (2002)
Darnley Bay	69.583333	-123.13333	25	Kerr (1994)
Port Gamble	47.9	-122.6	30	Thorson (1980)
Websters Corners	49.233333	-122.49333	200	Mathews et al. (1970), Clague et al. (1982)
Seattle	47.6	-122.333333	0	Thorson (1980)
Buchanan River	69.766667	-121.66666	50	Kerr (1994)
Croker River	69.1	-119.5	84	Kerr (1996)
Berkeley Point	71.907283	-118.975983	54	Dyke and Savelle (unpubublished)
Mercy Bay	74.025	-118.908333	30	Vincent (1983)
Wilkie Point	76.35	-118.76666	30	Hodgson et al. (1984)
Clifton Point	69.134722	-118.58444	100	St-Onge and McMartin (1995)
Cape Ptarmigan	70.973833	-118.361783	75	Dyke and Savelle (unpubublished)
Holman Northwest	70.806667	-117.93	90	Dyke and Savelle (2004b)
Comfort Cove	75.305	-117.58333	60	Hodgson (1992)
Cape Baring	70.033333	-117.28333	115	Dyke and Savelle (2000)
Cape Baring	69.9125	-117.1675	120	Dyke and Savelle (2000)
Richardson River	67.866667	-117.16666	150	St-Onge and McMartin (1995)
Cape Back	70.101667	-116.98388	121	Dyke and Savelle (2000)
Harding River	68.783333	-116.93333	130	St-Onge and McMartin (1995)
Prince of Wales Strait, Banks I	73.190316	-116.785466	46	Hodgson (unpublished)
Kugaluk River	69.672222	-116.55083	120	Dyke and Savelle (2000)
Graveyard Bay West	70.65	-116.37166	90	Vincent (unpublished)
Prince of Wales Strait, Banks I	73.275933	-116.333333	49	Hodgson (unpublished)
Blakeley Haven	75.95	-116.25	51	Hodgson (1992)
Ibbett Bay	75.8	-116.25	60	Hodgson (1992)
Minto Inlet head	71.25	-115.5	113	Fyles (1963)
Point Caen	69.341667	-115.46722	93	Dyke and Savelle (2002)
Coppermine River	67.73	-115.4175	170	Kerr (1994)
Prince Albert Sound	70.266667	-115.2	132	Dyke and Savelle (2003a)
Bernard Harbour	68.542222	-115.08444	137	St-Onge and McMartin (1995), Kerr (1996)
Richard Collinson Inlet head	72.616666	-114.916666	90	Hodgson (unpublished)
Asiak River	67.6728	-114.481	170	Kerr et al. (1997)
Page Point, 30 km West	70.713333	-114.39666	98	Dyke and Savelle (2004a)
Loch Point	73.1	-114.183333	120	Hodgson (unpublished)
Loch Point	73.033333	-114.066666	50	Hodgson (unpublished)
Murray Inlet head	75.5	-114	55	Hodgson (1992)
Emerald Island	76.7	-114	27	Prest et al. (1968)
Tuttuturaq Lake West	69.416667	-113.916667	130	Dyke (unpublished)
Brock Island East	77.9	-113.91666	16	Hodgson et al. (1984)
Richard Collinson Inlet head	72.516666	-113.75	90	Hodgson (unpublished)
Shellabear Point	74.816667	-113.7	60	Hodgson et al. (1984)
Linaluk Island Southwest	70.230766	-113.6576	128	Dyke and Savelle (2003b)
Tuttuturaq Lake East	69.4	-113.366666	130	Dyke (unpublished)
Barnard Point	72.933333	-113.233333	54	Hodgson (unpublished)
Kuuk River	70.65285	-112.601083	107	Dyke and Savelle (2003c)
Read Island, 55 km East	69.066667	-112.45	140	Sharpe (1992)
Long Point	76.05	-112.416667	58	Hodgson (1992)
Prince Albert Sound	70.08	-112.25	140	Fyles (1963)
Workshop Point	72.828333	-111.93333	50	Hodgson and Vincent (1984)
McCormick Inlet	75.8	-111.916667	53	Hodgson et al. (1984)
Kilian Lake	72.183333	-111.9	120	Hodgson (1993)
Cape Clarendon	74.545	-111.7	90	Hodgson et al. (1984)
Stony Pass	74.916667	-111.5	55	Hodgson et al. (1984)
Lidden Gulf	75.25	-111.25	61	Hodgson et al. (1984)
Cape Phipps	74.617	-111.167	34	Hodgson et al. (1984)
Bathurst Inlet West	67.5	-111	210	Kerr (1996)
Winter Harbour	74.791667	-110.53416	30	Hodgson et al. (1984)
Natkusiak Peninsula	72.866667	-110.33333	135	Hodgson and Vincent (1984)
Glenelg Bay	72.35	-110.25	130	Hodgson (1993)
Bathurst Inlet West	67.75	-110	209	Kerr (1996)
Lauchlan River	69.233333	-109.88333	183	Fyles (1963)
Tahoe Lake West	70.1	-109.83333	160	Fyles (1963)
Glenelg Bay	72.375	-109.283333	85	Hodgson (1993)
Barrow Dome	76.685777	-109.127416	59	Hanson (2003)
Eldridge Bay	76.042222	-109.063638	65	Hanson (2003)
Bathurst Inlet head	66.5	-109	223	Kerr (1996)
Sherard Bay	76.051305	-108.852555	64	Hanson (2003)
Hadley Bay West	72.025	-108.8	90	Hodgson (1993)
Sabine Bay East	75.609916	-108.511972	61	Hanson (2003)
Washburn Lake	70.1	-108.5	159	Fyles (1963)
Sabine Peninsula Northeast	76.75	-108.5	40	Prest et al. (1968), McLaren and Barnett (1978)
Nias Point	75.506667	-108.25	55	McLaren and Barnett (1978), Hodgson et al. (1984)
Hadley Bay Northeast	73.175	-108.116666	70	Hodgson (1993)
Tingmisut Lake	75.95	-107.78333	82	McLaren and Barnett (1978) (suspect: cf Hanson, 2003)
Weatherall Bay	75.7505	-107.76425	65	Hanson (2003)
Hadley Bay Northeast	72.55	-107.75	90	Hodgson (1994)
Hadley Bay Southeast	72.116667	-107.25	124	Hodgson (1994)
Mount George	68.658333	-107.01666	195	Prest et al. (1968)
Bathurst Inlet head	66	-106.5	228	Kerr (1996)
Storkerson Peninsula Northeast	72.966667	-106.133333	80	Hodgson (1994)
Towson Point	75.883333	-105.58333	101	McLaren and Barnett (1978)
Storkerson Peninsula Southwest	72.116667	-105.433333	85	Hodgson (unpublished)
Storkerson Peninsula Northeast	73.19725	-105.33911	80	Hodgson (1994)
Cape Stang	71.4	-105	113	Fyles (1963)
Mount Pelly	69.15	-104.9	190	Washburn (1947)
Stefansson Island Northeast	73.583333	-104.66666	80	Hodgson (1994)
Schomberg Point	75.550728	-102.750928	111	Bednarski (1996)
Massey Island	76.084087	-102.550972	110	Bednarski (1996)
Ile Vanier	76.258	-102.313	106	Bednarski (1996)
Hollist Point	72.766667	-102.11666	136	Dyke et al. (1991)
King Christian Island	77.753889	-101.61694	80	Hodgson (1977), Atkinson and England (2004)
Drake Bay	73.458333	-100.9	120	Dyke et al. (1991)
Meighen Island	79.9	-100	24	Prest et al. (1968)
Cape Nathorst	77.933333	-99.9	60	Atkinson and England (2004)
Hooker Bay	75.349836	-99.851901	105	Bednarski (1996)
Arabella Bay	73.65	-99.5	133	Dyke et al. (1991)
Smith Bay	73.066667	-99.466667	100	Dyke et al. (1991)
Dundee Bight	75.967403	-99.301257	116	Bednarski (1996)
Allison Point	75.100702	-99.13449	114	Bednarski (1996)
Dyke Acland Bay	75.004993	-98.995741	114	Bednarski (1996)
Browne Bay	73.175	-98.55	95	Dyke et al. (1991)
Baring Channel	73.75	-98.283333	120	Dyke et al. (1991)
Crooked Lake	72.666667	-98.283333	102	Dyke et al. (1991)
Russell Island	73.916667	-98.233333	95	Dyke et al. (1991)
Freemans Cove	75.129384	-98.103609	107	Bednarski (1996)
Walker River	75.950741	-97.867791	111	Bednarski (1996)
Fisher Lake	72.166667	-97.833333	100	Dyke et al. (1991)
Cape Hardy	73.791667	-97.7	95	Dyke et al. (1991)
Cape Sverre	78.766667	-97.666667	106	Atkinson (2003)
Lowther Island	74.55	-97.516667	106	Dyke (1993)
Guillimard Bay	71.591667	-97.35	100	Dyke et al. (1991)
Truro Island	75.316667	-97.166667	107	Bednarski (1996)
Prescott Island	73.016667	-97.05	107	Dyke et al. (1991)
Transition Bay	72.091667	-96.55	115	Dyke et al. (1991)
South Henik Lake	61.25	-96.5	159	Lee (1959)
Kinga Lake	61.933333	-96.465278	170	Aylsworth et al. (1986)
Panarctic Amund Central Dome	78.325	-96.25	100	Atkinson (2003)
Baker Lake	64.516667	-96.05	130	Lee (1968)
Pasley Bay	70.420833	-96.016667	136	Dyke (1984)
Griffith Island	74.595	-95.775	106	Dyke (1993)
