Region	LAB_ID	LATITUDE	LONGITUDE	MIN RSL	MAX RSL	min elevation error	max elevation error
banks_island_south	GSC-2364	71.95	-125.416667		2		1
banks_island_south	GSC-2545	72.036944	-120.25111	21		5	
banks_island_south	GSC-2633	72.046944	-120.23361	10		10	
banks_island_south	GSC-3292	71.95	-125.21666		2		1
banks_island_south	GSC-3369	71.983333	-125.4		3		1
banks_island_south	GSC-49	71.4	-121.43333	18		10	
banks_island_south	RL-765	71.575	-123.48333		2.5		1
banks_island_south	RL-766	71.575	-123.48333		2.5		1
banks_island_south	RL-767	71.575	-123.48333		2.5		1
Boothia_Peninsula	AA-61956	70.984751	-96.967353		29		2
Boothia_Peninsula	AA-61957	70.930108	-96.503129		12.5		2
Boothia_Peninsula	AA-61958	70.370337	-96.460816		28		2
Boothia_Peninsula	AA-61959	70.371762	-96.487625		6		2
Boothia_Peninsula	AA-62366	70.390533	-96.439602		20.5		2
Boothia_Peninsula	AA-62367	71.055444	-96.391635		5		1
Boothia_Peninsula	AA-62368	71.025223	-96.404489		22		2
Boothia_Peninsula	AA-62369	71.007628	-96.433723		23		2
Boothia_Peninsula	AA-62370	70.927353	-96.499826		22.5		2
Boothia_Peninsula	AA-62372	70.955528	-96.481922		23		2
Boothia_Peninsula	AA-62373	70.39502	-96.422498		23.5		2
Boothia_Peninsula	AA-62374	70.368505	-96.467129		24.5		2
Boothia_Peninsula	AA-62375	70.393948	-96.443102		14		2
Boothia_Peninsula	AA-62459	70.400735	-96.420546		15		2
Boothia_Peninsula	AA-62460	70.979083	-96.476801		12.5		2
Boothia_Peninsula	AA-62461	71.003471	-96.443272		22		2
Boothia_Peninsula	AA-62462	70.406838	-96.404907		16.5		2
Boothia_Peninsula	AA-62463	70.401527	-96.4182		15.5		2
Boothia_Peninsula	AA-63086	71.051967	-96.395824		13		2
Boothia_Peninsula	AA-63087	70.852	-96.6		4		1
Boothia_Peninsula	AA-63088	70.399881	-96.439418		4		1
Boothia_Peninsula	AA-63089	70.361462	-96.489718		14		2
Boothia_Peninsula	GSC-144	70.366667	-96.316667	22		10	
Boothia_Peninsula	GSC-2720	71.1875	-93.75	185	215	10	10
Boothia_Peninsula	GSC-2722	70.958333	-95.4	126	155	10	10
Boothia_Peninsula	GSC-2917	70.420833	-96.016667	136	136	10	10
Boothia_Peninsula	GSC-597	70.333333	-92.233333	190		10	
Boothia_Peninsula	GSC-601	70.133333	-92.45	25		10	
Boothia_Peninsula	GSC-603	70.133333	-92.45	10		10	
